Case Tasks,"[{""Case Tasks Title"": ""Initial Investigation"", ""Case Task Start Date"": ""29/02/2016 07:15"", ""Case Task Assignee"": ""user_180"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""30 minutes"", ""Case Attribute Data"": ""{ 'investigation_started': 'Analyzing access logs.' }""}, {""Case Tasks Title"": ""Data Protection Measures"", ""Case Task Start Date"": ""29/02/2016 08:00"", ""Case Task Assignee"": ""user_23"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""1 hour"", ""Case Attribute Data"": ""{ 'data_protection_measures': 'Access revoked for affected accounts.' }""}, {""Case Tasks Title"": ""User Notification"", ""Case Task Start Date"": ""29/02/2016 09:30"", ""Case Task Assignee"": ""user_180"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""15 minutes"", ""Case Attribute Data"": ""{ 'notification_sent': 'User informed about the incident.' }""}, {""Case Tasks Title"": ""Incident Report"", ""Case Task Start Date"": ""29/02/2016 10:00"", ""Case Task Assignee"": ""user_23"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""30 minutes"", ""Case Attribute Data"": ""{ 'report_summary': 'Unauthorized access detected; actions taken.' }""}]"
Observables Analysis,"[{""Analysis Type"": ""Access Logs"", ""Analysis ID"": ""log-2016-002"", ""Timestamp"": ""2016-02-29 07:30:00 UTC"", ""Data Value"": ""Unauthorized access attempt detected."", ""Details"": ""Multiple failed login attempts from external IPs."", ""Status"": ""Investigating""}]"
Chat Log,"User_180 [07:08 AM]: ""User reports potential unauthorized access. Investigating now."" User_23 [07:30 AM]: ""Initial investigation indicates multiple failed logins."" User_180 [08:15 AM]: ""Access for affected accounts has been revoked."" User_23 [09:00 AM]: ""User notified; incident report in progress."""
Chat Keywords,"[""security breach"", ""data breach"", ""unauthorized access"", ""investigation"", ""user notification"", ""incident reporting""]"
Chat Sentiment Determination,Frustration
Event ID,135
Distribution,Organization only
Event Information,Security breach detected
Threat Level,High
Event Attributes,"{ 'issue_type': 'security breach', 'affected_data': 'user credentials, personal information' }"
close_code,Security_Breach_Resolved
resolved_by,user_62
resolved_at,29/02/2016 16:01
closed_at,05/03/2016 17:00

Field,Value
number,INC0000064
incident_state,Closed
active,FALSE
reassignment_count,1
reopen_count,0
sys_mod_count,8
made_sla,TRUE
caller_id,Caller 2838
opened_by,user_131
opened_at,29/02/2016 07:10
sys_created_by,user_062
sys_created_at,29/02/2016 07:14
sys_updated_by,user_908
sys_updated_at,08/03/2016 17:00
contact_type,Phone
category,Malware Incident
subcategory,Malware Infection
u_symptom,User reports suspicious activity and slow performance
impact,2 - Medium
urgency,2 - Medium
priority,3 - Moderate
assigned_to,user_28
resolver,user_078
knowledge,FALSE
notify,Do Not Notify
rfc,RFC001234
Case ID,CASE009
Case Title,Suspicious Malware Activity Detected
Creation Date,29/02/2016 07:10
Description,User reported unusual system behavior; suspected malware infection.
Case Tasks,"[{""Case Tasks Title"": ""Initial Analysis"", ""Case Task Start Date"": ""29/02/2016 07:20"", ""Case Task Assignee"": ""user_131"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""1 hour"", ""Case Attribute Data"": ""{ 'initial_analysis': 'Scanning for malware.' }""}, {""Case Tasks Title"": ""Malware Removal"", ""Case Task Start Date"": ""29/02/2016 08:30"", ""Case Task Assignee"": ""user_078"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""1 hour"", ""Case Attribute Data"": ""{ 'removal_tools_used': 'Antivirus software.' }""}, {""Case Tasks Title"": ""User Notification"", ""Case Task Start Date"": ""29/02/2016 09:45"", ""Case Task Assignee"": ""user_131"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""15 minutes"", ""Case Attribute Data"": ""{ 'notification_sent': 'User informed about malware removal.' }""}, {""Case Tasks Title"": ""Post-Incident Review"", ""Case Task Start Date"": ""29/02/2016 10:30"", ""Case Task Assignee"": ""user_078"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""30 minutes"", ""Case Attribute Data"": ""{ 'review_summary': 'Malware removed; system cleaned.' }""}]"
Observables Analysis,"[{""Analysis Type"": ""Malware Scan"", ""Analysis ID"": ""scan-2016-004"", ""Timestamp"": ""2016-02-29 08:00:00 UTC"", ""Data Value"": ""Malware detected and quarantined."", ""Details"": ""Suspicious files identified and removed."", ""Status"": ""Completed""}]"
Chat Log,"User_131 [07:10 AM]: ""User reports suspicious activity; scanning now."" User_078 [08:00 AM]: ""Malware detected and quarantined."" User_131 [09:00 AM]: ""User notified; system is secure now."""
Chat Keywords,"[""malware infection"", ""suspicious activity"", ""malware removal"", ""user notification"", ""incident review""]"
Chat Sentiment Determination,Confidence
Event ID,145
Distribution,Organization only
Event Information,Malware infection detected
Threat Level,High
Event Attributes,"{ 'issue_type': 'malware infection', 'affected_systems': 'user workstation' }"
close_code,Malware_Infection_Resolved
resolved_by,user_071
resolved_at,03/03/2016 16:00
closed_at,08/03/2016 17:00

Field,Value
number,INC0000065
incident_state,Closed
active,FALSE
reassignment_count,6
reopen_count,0
sys_mod_count,13
made_sla,TRUE
caller_id,Caller 5323
opened_by,user_131
opened_at,29/02/2016 07:38
sys_created_by,user_062
sys_created_at,29/02/2016 07:46
sys_updated_by,user_908
sys_updated_at,07/03/2016 16:00
contact_type,Phone
category,Network Incident
subcategory,Network Outage
u_symptom,User reports loss of internet connectivity
impact,2 - Medium
urgency,2 - Medium
priority,3 - Moderate
assigned_to,user_33
resolver,user_216
knowledge,FALSE
notify,Do Not Notify
rfc,RFC001235
Case ID,CASE010
Case Title,Network Connectivity Issues Reported
Creation Date,29/02/2016 07:38
Description,User reported loss of internet connectivity across multiple devices.
Case Tasks,"[{""Case Tasks Title"": ""Initial Investigation"", ""Case Task Start Date"": ""29/02/2016 08:00"", ""Case Task Assignee"": ""user_131"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""1 hour"", ""Case Attribute Data"": ""{ 'investigation_result': 'Router rebooted.' }""}, {""Case Tasks Title"": ""Network Monitoring"", ""Case Task Start Date"": ""29/02/2016 09:15"", ""Case Task Assignee"": ""user_216"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""2 hours"", ""Case Attribute Data"": ""{ 'monitoring_result': 'Network stable after reboot.' }""}, {""Case Tasks Title"": ""User Notification"", ""Case Task Start Date"": ""29/02/2016 11:30"", ""Case Task Assignee"": ""user_131"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""15 minutes"", ""Case Attribute Data"": ""{ 'notification_sent': 'Users informed of restored connectivity.' }""}]"
Observables Analysis,"[{""Analysis Type"": ""Network Log Analysis"", ""Analysis ID"": ""log-2016-005"", ""Timestamp"": ""2016-02-29 08:30:00 UTC"", ""Data Value"": ""Traffic spikes detected before outage."", ""Details"": ""Router logs indicate potential DDoS attack."", ""Status"": ""Completed""}]"
Chat Log,"User_131 [07:38 AM]: ""User reports loss of internet connectivity."" User_216 [08:30 AM]: ""Investigating router logs now."" User_131 [11:00 AM]: ""Connectivity restored; users notified."""
Chat Keywords,"[""network outage"", ""connectivity issues"", ""router reboot"", ""user notification"", ""incident resolution""]"
Chat Sentiment Determination,Urgency
Event ID,146
Distribution,Organization only
Event Information,Network outage reported 
Threat Level,Medium
Event Attributes,"{ 'issue_type': 'network outage', 'affected_systems': 'all workstations' }"
close_code,Network_Outage_Resolved
resolved_by,user_197
resolved_at,02/03/2016 15:21
closed_at,07/03/2016 16:00

Field,Value
number,INC0000066
incident_state,Closed
active,FALSE
reassignment_count,1
reopen_count,0
sys_mod_count,3
made_sla,TRUE
caller_id,Caller 3796
opened_by,user_024
opened_at,29/02/2016 08:03
